name value unit note
dataset validation_test_2 - dataset_TSTO_in_input/,_sorgente_di_altitude/inclinazione_target_e_tol_con
n_design 10 - numero_variabili_di_design,_deve_combaciare_con_le_righe_di_design_variables.csv
i_payload 10 - indice_1-based_di_Mpayload_dentro_x
seed 1 - seed_RNG_di_partenza_(stadio_1)
vary_seed 1 bool seed_stadio_=_seed+(stadio-1);_misurato_necessario:_un_ritentativo_a_seed_fisso_rigioca_la_stessa_ricerca,_solo_piu'_a_lungo
verbose 1 - livello_di_log_di_cmaes_core_per_stadio
n_stage 8 - numero_di_stadi_di_continuazione
stage_eval 2500 eval budget_per_stadio,_costante_di_proposito:_misurato_che_3000/6000/10000_eval_a_lb/x0/seed_invariati_danno_lo_stesso_risultato
stage_iter Inf iter default_di_parse_opts,_non_vincolante_(stage_eval_e'_il_criterio_di_stop_reale)
max_restarts 3 - restart_IPOP_massimi_per_stadio;_misurato_che_gli_stadi_riusciti_fanno_sempre_>=1_restart
sigma0_cold 0.3 - passo_iniziale_CMA-ES_per_gli_stadi_ESPLORATIVI_(restart_Sobol_globale)
sigma0_warm 0.03 - passo_iniziale_per_gli_stadi_CALDI;_va_commisurato_alla_fetta_back_off,_non_al_box_(misurato:_con_back_off=250_e_sigma0=0.15_zero_punti_feasible_in_5000_eval)
explore_every 2 - ogni_N-esimo_stadio_e'_esplorativo_invece_che_caldo;_0_=_mai_esplorare
back_off 1000 kg fetta_di_payload_sotto_il_muro_certificato_lasciata_al_ratchet_(lb_del_prossimo_stadio)
ratio_guess auto kg_payload/kg_prop auto_=_[]_=_stimato_da_Tsiolkovsky_sul_punto;_un_valore_numerico_qui_forza_il_guess_iniziale_del_predittore
ratio_safety 1.0 - fattore_<1_restringe_il_bracket_del_predittore_(piu'_prudente)
push_max 3 - passi_massimi_di_predizione_per_punto_nel_push-to-wall
bisect_tol 50 kg risoluzione_finale_della_bisezione_sul_muro
bisect_max 8 - iterazioni_massime_della_bisezione_sul_muro
min_gain 100 kg guadagno_minimo_di_payload_per_non_contare_uno_stadio_come_"a_vuoto"
patience 3 - stadi_consecutivi_a_vuoto_tollerati_prima_dello_stop_anticipato
x0_retreat 500 kg arretramento_del_SOLO_punto_di_partenza_di_uno_stadio_sotto_il_muro_certificato_(il_punto_riportato_in_out.x_resta_sul_muro)
